match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
1,49,89,20524,17980,5,0,0,5,0,19,18,1,0,0,25,25,0,0,7120,24378,0,0,0,0,0,4,3,1,0,0,85,25,60,0
2,40,161,18139,9637,0,0,0,0,0,20,15,5,0,0,20,20,0,0,23975,18240,78,5,3,10,60,43,30,3,0,10,40,20,20,0
3,88,128,4545,21455,15,15,0,0,0,68,57,1,0,10,5,5,0,0,22043,365,41,5,6,10,20,17,12,5,0,0,30,20,10,40
4,109,75,3587,22411,16,0,6,10,0,38,24,4,0,10,55,25,30,0,20626,18341,36,5,6,5,20,19,12,7,0,0,20,20,0,0
5,219,162,6547,19818,80,10,0,10,60,49,27,2,10,10,60,40,20,30,18225,10015,38,5,3,10,20,64,30,4,20,10,60,40,20,0
6,382,206,8565,3763,119,20,9,10,80,83,60,3,10,10,90,40,50,90,16379,23562,50,5,0,5,40,86,54,2,20,10,60,40,20,10
7,177,129,7693,14712,63,10,3,10,40,69,36,3,20,10,45,25,20,0,8651,15527,50,5,0,5,40,39,27,2,0,10,40,40,0,0
8,148,261,19498,8866,58,5,3,10,40,70,39,1,20,10,20,20,0,0,17315,14903,110,20,0,10,80,81,57,4,10,10,70,40,30,0
9,313,189,4215,11808,100,10,0,10,80,113,63,0,30,20,70,40,30,30,252,16255,81,5,6,10,60,38,24,4,0,10,40,40,0,30
10,237,240,19213,12635,80,10,0,10,60,87,54,3,10,20,60,20,40,10,19746,14273,95,30,0,5,60,85,51,4,20,10,60,40,20,0
11,219,94,11225,21051,20,0,0,0,20,24,12,2,10,0,45,25,20,130,21521,19829,35,5,0,10,20,14,6,8,0,0,45,25,20,0
12,178,109,5386,15534,78,25,3,10,40,75,45,0,10,20,25,25,0,0,21125,14423,50,5,0,5,40,24,21,3,0,0,25,25,0,10
13,291,290,14496,24070,85,20,0,5,60,106,72,4,20,10,100,40,60,0,24145,12014,93,20,3,10,60,117,66,1,30,20,70,40,30,10
14,171,209,16633,23974,78,5,3,10,60,53,33,0,10,10,40,20,20,0,16310,9879,71,15,6,10,40,58,42,6,0,10,80,40,40,0
15,135,163,9637,22043,50,5,0,5,40,25,24,1,0,0,20,20,0,40,22411,6547,50,5,0,5,40,53,30,3,20,0,60,20,40,0
16,27,284,20524,18341,0,0,0,0,0,17,15,2,0,0,10,10,0,0,16379,18139,55,10,0,5,40,99,60,9,20,10,90,40,50,40
17,278,95,3763,21455,111,15,6,10,80,87,66,1,10,10,80,40,40,0,18240,24378,36,0,6,10,20,9,6,3,0,0,40,40,0,10
18,67,183,4545,17980,30,5,0,5,20,27,27,0,0,0,10,10,0,0,8866,15527,58,5,3,10,40,55,33,2,10,10,40,40,0,30
19,108,162,8565,19498,26,0,6,0,20,32,21,1,10,0,50,20,30,0,252,14712,56,0,6,10,40,46,36,0,10,0,40,40,0,20
20,217,226,10015,7693,80,10,0,10,60,67,36,1,20,10,60,40,20,10,4215,14273,80,10,0,10,60,76,45,1,20,10,70,40,30,0
21,326,50,7120,19746,70,25,0,5,40,106,63,3,30,10,90,40,50,60,21051,3587,0,0,0,0,0,15,12,3,0,0,25,25,0,10
22,144,259,16255,12635,61,5,6,10,40,13,6,7,0,0,70,20,50,0,18225,11225,80,10,0,10,60,79,48,1,20,10,90,40,50,10
23,103,205,23975,8651,50,5,0,5,40,33,18,5,10,0,20,20,0,0,14423,14496,55,10,0,5,40,80,48,2,20,10,70,40,30,0
24,240,268,21521,19213,75,5,0,10,60,85,63,2,10,10,60,20,40,20,9879,20626,80,10,0,10,60,88,57,1,20,10,100,40,60,0
25,86,183,23562,21125,28,0,3,5,20,13,9,4,0,0,45,25,20,0,23974,24145,70,5,0,5,60,73,42,1,20,10,40,40,0,0
26,211,156,19818,14903,68,15,3,10,40,83,51,2,20,10,40,40,0,20,15534,16633,58,5,3,10,40,58,36,2,10,10,40,40,0,0
27,126,235,365,5386,50,5,0,5,40,56,33,3,10,10,20,20,0,0,12014,11808,90,20,0,10,60,80,60,0,10,10,65,25,40,0
28,244,218,24070,16310,83,10,3,10,60,71,57,4,0,10,90,40,50,0,17315,19829,80,10,0,10,60,88,48,0,20,20,50,20,30,0
29,151,268,18240,252,80,10,0,10,60,11,6,5,0,0,40,40,0,20,22043,8866,35,5,0,10,20,43,33,0,0,10,70,40,30,120
30,85,196,24378,18341,15,10,0,5,0,30,18,2,0,10,20,20,0,20,14273,4545,80,10,0,10,60,66,45,1,10,10,20,20,0,30
31,164,112,17980,19746,71,20,6,5,40,58,33,5,10,10,35,25,10,0,9637,19498,70,5,0,5,60,12,12,0,0,0,30,20,10,0
32,217,232,3763,11225,89,10,9,10,60,68,36,2,20,10,60,40,20,0,7693,3587,73,5,3,5,60,69,36,3,20,10,90,40,50,0
33,76,157,12635,23975,45,0,0,5,40,1,0,1,0,0,30,0,30,0,10015,20524,50,5,0,5,40,47,36,1,0,10,50,20,30,10
34,112,261,9879,8651,30,0,0,10,20,12,12,0,0,0,70,40,30,0,8565,4215,105,15,0,10,80,86,54,2,20,10,70,40,30,0
35,186,259,14423,24145,60,10,0,10,40,66,42,4,10,10,50,0,50,10,19213,18225,98,25,3,10,60,71,48,3,10,10,90,40,50,0
36,154,202,14712,23974,48,0,3,5,40,66,33,3,20,10,40,40,0,0,14903,14496,30,5,0,5,20,122,69,3,30,20,20,20,0,30
37,213,236,15527,12014,61,5,6,10,40,92,51,1,30,10,60,40,20,0,16633,6547,55,5,0,10,40,81,60,1,10,10,60,40,20,40
38,85,188,20626,7120,35,5,0,10,20,30,21,9,0,0,20,20,0,0,19829,16379,55,5,0,10,40,113,63,0,30,20,20,0,20,0
39,169,151,24070,21455,19,0,9,10,0,40,24,6,10,0,100,40,60,10,11808,21125,30,5,0,5,20,56,33,3,10,10,55,25,30,10
40,97,110,21051,16255,28,0,3,5,20,39,18,1,20,0,20,20,0,10,23562,365,50,5,0,5,40,20,18,2,0,0,40,20,20,0
41,237,192,19818,17315,83,30,3,10,40,84,51,3,20,10,70,20,50,0,5386,21521,30,5,0,5,20,62,39,3,10,10,80,40,40,20
42,147,166,15534,16310,50,5,0,5,40,72,42,0,20,10,25,25,0,0,22411,18139,70,5,0,5,60,26,15,1,10,0,50,20,30,20
43,211,153,19746,18240,68,20,3,5,40,73,51,2,10,10,70,40,30,0,4545,20524,50,5,0,5,40,43,33,0,0,10,60,40,20,0
44,106,169,8565,23975,45,0,0,5,40,36,24,2,10,0,25,25,0,0,14273,11225,80,15,0,5,60,49,36,3,0,10,40,40,0,0
45,303,149,7693,9879,108,15,3,10,80,125,75,0,30,20,70,40,30,0,17980,24145,50,5,0,5,40,44,24,10,10,0,45,25,20,10
46,116,165,23974,22043,60,10,0,10,40,31,21,0,0,10,25,25,0,0,14423,19498,61,5,6,10,40,44,42,2,0,0,30,20,10,30
47,242,198,10015,12014,68,15,3,10,40,114,63,1,30,20,60,40,20,0,9637,3763,55,10,0,5,40,63,33,0,20,10,70,40,30,10
48,235,292,18225,252,98,25,3,10,60,77,45,2,20,10,60,40,20,0,14496,3587,70,25,0,5,40,142,78,4,40,20,80,20,60,0
49,164,135,4215,19829,33,0,3,10,20,81,51,0,20,10,40,40,0,10,21455,6547,50,20,0,10,20,65,45,0,20,0,20,20,0,0
