Rank,Team,Average RP,Average TBP1,Average TBP2,High Score,Matches Played,W,L,T
1,19746,1.80,90.90,63.50,347,10,9,1,0
2,9879,1.80,83.30,63.00,325,10,9,1,0
3,4215,1.80,75.60,61.00,313,10,9,1,0
4,14903,1.80,66.30,58.50,318,10,9,1,0
5,14273,1.60,81.60,57.00,299,10,8,2,0
6,16310,1.60,73.40,67.50,298,10,8,2,0
7,14496,1.60,70.10,61.00,309,10,8,2,0
8,18225,1.40,90.20,67.00,313,10,7,3,0
9,17315,1.40,84.30,63.50,347,10,7,3,0
10,3763,1.40,79.70,70.00,382,10,7,3,0
11,15534,1.40,75.60,51.00,278,10,7,3,0
12,11808,1.40,69.60,58.00,313,10,7,3,0
13,19818,1.40,69.10,53.00,237,10,7,3,0
14,16379,1.40,67.80,70.50,318,10,7,3,0
15,24070,1.40,58.10,74.00,291,10,7,3,0
16,8565,1.20,82.70,66.50,382,10,6,4,0
17,252,1.20,81.10,58.00,298,10,6,4,0
18,11225,1.20,77.80,57.50,302,10,6,4,0
19,19213,1.20,76.50,72.00,277,10,6,4,0
20,5386,1.20,73.20,50.00,286,10,6,4,0
21,24145,1.20,69.90,66.50,302,10,6,4,0
22,6547,1.20,69.60,54.50,260,10,6,4,0
23,365,1.20,69.40,45.50,263,10,6,4,0
24,7693,1.20,68.90,71.00,303,10,6,4,0
25,8866,1.20,65.70,51.50,286,10,6,4,0
26,16633,1.20,63.20,55.00,286,10,6,4,0
27,14712,1.20,58.80,42.50,251,10,6,4,0
28,21455,1.20,58.70,55.50,278,10,6,4,0
29,14423,1.20,53.90,42.50,271,10,6,4,0
30,22411,1.20,52.70,61.50,258,10,6,4,0
31,10015,1.00,73.30,62.50,258,10,5,5,0
32,7120,1.00,45.90,44.00,326,10,5,5,0
33,12014,0.80,79.30,64.50,320,10,4,6,0
34,23974,0.80,63.40,49.50,275,10,4,6,0
35,18240,0.80,58.00,45.00,211,10,4,6,0
36,19498,0.80,55.30,46.50,224,10,4,6,0
37,19829,0.80,52.90,42.00,223,10,4,6,0
38,22043,0.80,44.40,47.50,268,10,4,6,0
39,3587,0.80,32.00,60.50,292,10,4,6,0
40,21521,0.60,67.20,55.00,248,10,3,7,0
41,23975,0.60,57.20,39.00,227,10,3,7,0
42,8651,0.60,53.10,49.00,243,10,3,7,0
43,18139,0.60,42.80,54.50,284,10,3,7,0
44,23562,0.60,42.10,49.00,206,10,3,7,0
45,15527,0.60,38.70,57.00,213,10,3,7,0
46,20626,0.40,59.00,53.50,268,10,2,8,0
47,12635,0.40,57.20,50.50,276,10,2,8,0
48,24378,0.40,52.00,50.50,217,10,2,8,0
49,4545,0.40,48.00,23.00,196,10,2,8,0
50,17980,0.40,39.70,29.00,277,10,2,8,0
51,20524,0.40,33.50,55.00,205,10,2,8,0
52,21125,0.40,27.10,38.00,164,10,2,8,0
53,21051,0.40,21.50,31.50,219,10,2,8,0
54,9637,0.20,50.50,34.00,213,10,1,9,0
55,18341,0.20,33.70,41.00,193,10,1,9,0
56,16255,0.00,47.30,39.00,195,10,0,10,0
