match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
1,115,237,8417,24474,40,10,0,10,20,25,18,7,0,0,20,20,0,30,4250,19066,83,15,3,5,60,84,51,3,20,10,70,40,30,0
2,224,197,8719,5026,60,15,0,5,40,94,63,1,20,10,70,40,30,0,12599,10662,100,15,0,5,80,77,54,3,10,10,20,20,0,0
3,144,248,6699,19448,83,10,3,10,60,11,9,2,0,0,50,40,10,0,21229,11212,123,50,3,10,60,105,81,4,0,20,20,20,0,0
4,290,53,19819,13093,100,10,0,10,80,100,60,0,30,10,50,20,30,40,25192,23112,10,0,0,0,10,18,18,0,0,0,25,25,0,0
5,285,148,18397,11329,118,25,3,10,80,127,75,2,30,20,40,40,0,0,18984,4029,28,0,3,5,20,50,27,3,10,10,70,40,30,0
6,179,259,16771,8513,60,10,0,10,40,54,42,2,0,10,55,25,30,10,12682,18763,88,15,3,10,60,121,69,2,30,20,50,20,30,0
7,207,136,18422,8468,60,15,0,5,40,92,51,1,30,10,55,25,30,0,701,24954,50,5,0,5,40,31,18,3,10,0,45,25,20,10
8,108,160,8721,4137,3,0,3,0,0,55,30,5,20,0,50,20,30,0,18017,15145,70,5,0,5,60,35,24,1,10,0,55,25,30,0
9,125,301,19162,8081,31,0,6,5,20,24,18,6,0,0,40,40,0,30,16460,11129,115,25,0,10,80,116,75,1,20,20,70,40,30,0
10,214,136,18227,19824,23,0,3,0,20,81,48,3,20,10,40,40,0,70,25152,23020,25,0,0,5,20,41,30,1,0,10,20,20,0,50
11,132,207,6955,7209,38,5,3,10,20,54,30,4,10,10,40,40,0,0,7149,10091,60,10,0,10,40,77,54,3,10,10,70,40,30,0
12,272,150,16290,12928,65,15,0,10,40,127,75,2,30,20,60,40,20,20,2901,7258,85,15,0,10,60,25,24,1,0,0,40,40,0,0
13,185,234,20188,14470,59,0,9,10,40,76,45,1,20,10,40,40,0,10,16093,11146,78,5,3,10,60,26,9,17,0,0,70,20,50,60
14,181,123,8411,16366,71,5,6,10,50,50,30,0,20,0,40,40,0,20,7393,5741,50,5,0,5,40,33,30,3,0,0,40,40,0,0
15,154,84,25192,8417,30,5,0,5,20,24,21,3,0,0,100,40,60,0,12599,6699,55,10,0,5,40,9,9,0,0,0,20,20,0,0
16,174,221,5026,12682,20,10,0,10,0,84,63,1,10,10,70,40,30,0,4250,18397,105,15,0,10,80,116,66,0,40,10,0,0,0,0
17,154,53,23112,10662,50,5,0,5,40,39,18,1,20,0,25,25,0,40,16771,18422,33,0,3,10,20,20,9,1,10,0,0,0,0,0
18,150,154,18984,701,48,0,3,5,40,62,42,0,10,10,40,40,0,0,19819,18763,50,0,0,10,40,84,54,0,20,10,20,20,0,0
19,111,249,4137,24954,53,5,3,5,40,38,18,0,20,0,20,20,0,0,21229,8719,80,30,0,10,40,109,69,0,30,10,50,20,30,10
20,162,227,11129,25152,50,5,0,5,40,57,33,4,10,10,55,25,30,0,15145,19066,78,25,3,10,40,114,69,5,20,20,35,5,30,0
21,233,255,11212,11329,55,10,0,5,40,108,75,3,20,10,70,40,30,0,13093,18227,68,15,3,10,40,77,54,3,10,10,100,40,60,10
22,165,220,19824,2901,56,0,6,10,40,39,24,5,0,10,70,40,30,0,10091,8721,70,5,0,5,60,80,48,2,20,10,60,40,20,10
23,306,228,16460,12928,105,20,0,5,80,141,90,1,30,20,60,40,20,0,24474,16093,80,10,0,10,60,58,33,5,10,10,60,40,20,30
24,177,157,23020,18017,60,10,0,10,40,47,36,1,10,0,60,40,20,10,8411,19162,76,5,6,5,60,61,30,1,20,10,20,20,0,0
25,249,163,14470,7209,65,15,0,10,40,74,51,3,0,20,60,40,20,50,5741,8468,42,5,12,5,20,101,69,2,20,10,20,20,0,0
26,242,249,4029,11146,100,10,0,10,80,72,42,0,20,10,70,40,30,0,16366,7149,56,5,6,5,40,73,42,1,20,10,70,40,30,50
