Rank,Team,Average RP,Average TBP1,Average TBP2,High Score,Matches Played,W,L,T
1,10091,2.00,83.50,62.00,309,10,10,0,0
2,4250,1.80,81.60,60.50,294,10,9,1,0
3,19066,1.80,79.10,67.50,335,10,9,1,0
4,11212,1.80,74.30,66.50,340,10,9,1,0
5,21229,1.60,94.60,60.00,396,10,8,2,0
6,16460,1.60,86.30,63.00,306,10,8,2,0
7,11329,1.60,84.90,65.00,333,10,8,2,0
8,18227,1.60,80.00,72.00,333,10,8,2,0
9,8719,1.60,71.30,70.00,329,10,8,2,0
10,7149,1.60,70.20,68.50,256,10,8,2,0
11,8468,1.40,83.10,49.50,333,10,7,3,0
12,12928,1.40,74.90,67.50,312,10,7,3,0
13,13093,1.40,70.00,77.00,290,10,7,3,0
14,15145,1.40,66.50,59.00,330,10,7,3,0
15,18397,1.20,85.40,48.50,285,10,6,4,0
16,11129,1.20,81.50,71.50,301,10,6,4,0
17,7258,1.20,79.40,68.50,329,10,6,4,0
18,8411,1.20,77.30,63.00,379,10,6,4,0
19,7393,1.20,75.40,55.00,305,10,6,4,0
20,19448,1.20,75.20,54.50,298,10,6,4,0
21,16093,1.20,73.60,65.00,399,10,6,4,0
22,19824,1.20,66.40,60.00,335,10,6,4,0
23,12682,1.20,56.50,66.00,271,10,6,4,0
24,12599,1.00,87.30,51.00,276,10,5,5,0
25,6699,1.00,64.00,57.00,379,10,5,5,0
26,5026,1.00,61.90,50.00,399,10,5,5,0
27,701,1.00,59.60,59.50,284,10,5,5,0
28,6955,1.00,59.30,56.00,262,10,5,5,0
29,19819,1.00,51.80,65.00,290,10,5,5,0
30,25192,1.00,49.60,64.00,307,10,5,5,0
31,18763,0.80,81.60,50.00,396,10,4,6,0
32,20188,0.80,64.90,53.00,340,10,4,6,0
33,5741,0.80,63.10,46.50,314,10,4,6,0
34,8721,0.80,61.00,57.00,253,10,4,6,0
35,10662,0.80,60.10,48.50,248,10,4,6,0
36,14470,0.80,58.70,53.00,261,10,4,6,0
37,25152,0.80,58.30,64.00,286,10,4,6,0
38,7209,0.80,57.90,62.00,254,10,4,6,0
39,23020,0.80,53.90,66.00,276,10,4,6,0
40,16366,0.80,43.40,43.00,249,10,4,6,0
41,2901,0.60,72.20,59.00,277,10,3,7,0
42,11146,0.60,71.80,43.50,242,10,3,7,0
43,4029,0.60,71.50,61.00,294,10,3,7,0
44,19162,0.60,63.70,65.00,333,10,3,7,0
45,8513,0.60,55.30,70.00,263,10,3,7,0
46,16290,0.60,53.60,48.00,272,10,3,7,0
47,18984,0.60,48.60,54.50,286,10,3,7,0
48,23112,0.60,40.00,37.50,226,10,3,7,0
49,24474,0.40,82.60,54.50,257,10,2,8,0
50,8417,0.40,56.70,63.00,231,10,2,8,0
51,16771,0.40,55.00,55.50,296,10,2,8,0
52,18017,0.40,51.80,57.00,188,10,2,8,0
53,8081,0.40,51.10,42.50,257,10,2,8,0
54,18422,0.40,45.90,47.50,248,10,2,8,0
55,4137,0.20,51.20,46.00,259,10,1,9,0
56,24954,0.20,40.70,32.00,196,10,1,9,0
