match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
1,210,177,10255,8641,85,15,0,10,60,85,63,2,0,20,40,20,20,0,10138,17792,33,0,3,10,20,84,51,3,20,10,60,20,40,0
2,124,149,20279,19964,30,5,0,5,20,19,15,4,0,0,75,25,50,0,8872,3491,20,0,0,0,20,59,36,3,10,10,70,40,30,0
3,231,189,10355,11511,73,20,3,10,40,118,75,3,20,20,40,40,0,0,11148,310,30,20,0,10,0,79,57,2,10,10,50,20,30,30
4,140,152,18203,18625,78,5,3,10,60,42,21,1,10,10,20,0,20,0,11228,22708,83,10,3,10,60,19,18,1,0,0,50,20,30,0
5,103,122,23160,21528,11,0,6,5,0,22,21,1,0,0,50,20,30,20,14179,25,55,5,0,10,40,17,3,14,0,0,50,20,30,0
6,91,235,7842,18549,23,10,3,10,0,48,36,2,0,10,20,20,0,0,16008,19706,35,10,0,5,20,80,45,5,20,10,60,40,20,60
7,196,234,22801,7105,73,20,3,10,40,73,51,2,10,10,50,40,10,0,772,8610,85,15,0,10,60,69,48,1,10,10,80,40,40,0
8,238,337,16417,11754,63,10,3,10,40,105,54,1,30,20,70,40,30,0,11039,16449,90,20,0,10,60,157,96,1,40,20,90,40,50,0
9,161,316,21457,16377,64,5,9,10,40,47,30,7,10,0,40,20,20,10,23350,12791,110,20,0,10,80,96,63,3,20,10,90,40,50,20
10,188,141,20153,17969,78,5,3,10,60,70,33,7,20,10,40,40,0,0,18185,19460,55,5,0,10,40,51,30,1,10,10,35,25,10,0
11,253,246,6294,18031,85,15,0,10,60,78,48,0,20,10,60,40,20,30,21354,19675,63,10,3,10,40,113,72,1,20,20,70,40,30,0
12,244,173,11691,16166,50,5,0,5,40,114,54,0,40,20,80,40,40,0,9974,25498,50,5,0,5,40,68,42,6,10,10,55,25,30,0
13,193,152,10829,14793,85,15,0,10,60,38,30,8,0,0,70,40,30,0,4100,16409,20,0,0,0,20,62,42,0,10,10,70,40,30,0
14,111,228,16187,11112,50,5,0,5,40,11,6,5,0,0,50,40,10,0,18270,12529,34,15,9,10,0,124,78,6,20,20,40,20,20,30
15,214,239,22708,14179,113,20,3,10,80,51,39,2,0,10,40,40,0,10,3491,10355,40,10,0,10,20,79,45,4,20,10,40,40,0,80
16,162,186,8641,19706,30,5,0,5,20,72,42,0,20,10,60,40,20,0,19964,18203,78,5,3,10,60,68,36,2,20,10,40,40,0,0
17,144,41,25,18549,80,10,0,10,60,14,12,2,0,0,50,40,10,0,18625,22801,20,10,0,10,0,6,6,0,0,0,5,5,0,10
18,352,182,16449,310,58,5,3,10,40,164,93,1,50,20,90,40,50,40,16008,11228,81,5,6,10,60,71,39,2,20,10,20,20,0,10
19,232,172,23160,16417,68,20,3,5,40,109,57,2,30,20,45,25,20,10,772,10255,43,10,3,10,20,89,57,2,20,10,40,40,0,0
20,173,220,21528,20279,50,5,0,5,40,23,21,2,0,0,60,40,20,40,17792,11039,70,5,0,5,60,80,69,1,0,10,70,40,30,0
21,150,326,21354,11148,65,15,0,10,40,25,18,7,0,0,60,40,20,0,12791,10138,103,35,3,5,60,123,81,2,20,20,100,40,60,0
22,134,85,11754,19675,33,0,3,10,20,71,51,0,10,10,20,20,0,10,16377,25498,31,0,6,5,20,29,18,1,10,0,25,25,0,0
23,226,207,6294,7105,85,15,0,10,60,71,60,1,0,10,50,40,10,20,14793,11511,63,10,3,10,40,69,39,0,20,10,75,25,50,0
24,219,238,4100,8610,42,0,12,10,20,117,66,1,30,20,60,40,20,0,17969,11691,75,30,0,5,40,93,60,3,20,10,70,40,30,0
25,194,239,7842,11112,54,0,9,5,40,70,39,1,20,10,70,20,50,0,9974,19460,80,10,0,10,60,79,45,4,20,10,80,40,40,0
26,191,146,16409,8872,78,5,3,10,60,43,30,3,0,10,70,40,30,0,16187,23350,50,5,0,5,40,26,15,1,10,0,60,40,20,10
27,246,271,18270,10829,78,5,3,10,60,108,75,3,20,10,50,40,10,10,20153,16166,88,15,3,10,60,113,63,0,30,20,70,40,30,0
28,229,259,18185,18031,75,5,0,10,60,74,54,0,10,10,80,20,60,0,21457,12529,51,20,6,5,20,108,66,2,30,10,100,40,60,0
29,278,216,16449,22801,63,10,3,10,40,135,72,3,40,20,80,20,60,0,14179,19964,80,10,0,10,60,51,36,5,0,10,85,25,60,0
30,262,156,17792,310,50,5,0,5,40,92,72,0,0,20,100,40,60,20,18549,772,58,5,3,10,40,68,33,5,20,10,30,20,10,0
31,68,161,16008,3491,35,10,0,5,20,13,3,10,0,0,20,20,0,0,10138,25,28,5,3,0,20,63,33,0,20,10,70,40,30,0
32,114,222,19706,19675,30,0,0,10,20,44,33,1,0,10,20,20,0,20,11039,11148,58,10,3,5,40,94,51,3,30,10,70,40,30,0
33,186,179,11511,22708,75,25,0,10,40,81,60,1,10,10,20,20,0,10,20279,16377,31,0,6,5,20,58,36,2,10,10,50,40,10,40
34,178,111,11228,8641,60,10,0,10,40,68,57,1,0,10,50,20,30,0,11691,6294,40,10,0,10,20,31,30,1,0,0,40,40,0,0
35,166,293,19460,21528,53,0,3,10,40,53,30,3,10,10,60,40,20,0,4100,10255,105,15,0,10,80,128,78,0,30,20,60,40,20,0
36,294,340,10355,14793,100,10,0,10,80,94,54,0,20,20,100,40,60,0,16417,11112,98,25,3,10,60,142,81,1,40,20,100,40,60,0
37,155,230,25498,16409,50,5,0,5,40,50,39,1,0,10,55,25,30,0,18625,20153,100,10,0,10,80,60,39,1,10,10,70,40,30,0
