Rank,Team,Average RP,Average TBP1,Average TBP2,High Score,Matches Played,W,L,T
1,10829,1.80,84.90,73.00,380,10,9,1,0
2,16449,1.80,80.40,71.50,358,10,9,1,0
3,9974,1.80,77.30,72.50,291,10,9,1,0
4,12791,1.60,97.20,69.50,369,10,8,2,0
5,10355,1.60,87.00,72.00,361,10,8,2,0
6,16166,1.60,75.30,71.00,327,10,8,2,0
7,25,1.60,72.70,54.00,298,10,8,2,0
8,16417,1.40,94.10,62.50,380,10,7,3,0
9,20153,1.40,89.70,66.50,358,10,7,3,0
10,17969,1.40,83.70,65.00,328,10,7,3,0
11,23350,1.40,75.20,75.50,348,10,7,3,0
12,18031,1.40,74.60,76.00,274,10,7,3,0
13,11039,1.40,68.90,69.00,337,10,7,3,0
14,8641,1.40,63.40,65.00,285,10,7,3,0
15,14179,1.20,84.40,65.00,348,10,6,4,0
16,7105,1.20,80.70,58.00,369,10,6,4,0
17,11691,1.20,75.60,61.00,277,10,6,4,0
18,7842,1.20,73.10,65.50,356,10,6,4,0
19,11228,1.20,71.20,46.50,258,10,6,4,0
20,12529,1.20,68.80,64.50,348,10,6,4,0
21,310,1.20,67.90,67.00,356,10,6,4,0
22,23160,1.20,62.50,64.00,284,10,6,4,0
23,21457,1.20,55.80,65.00,274,10,6,4,0
24,22708,1.00,84.10,50.50,324,10,5,5,0
25,10255,1.00,77.10,61.00,293,10,5,5,0
26,11112,1.00,73.70,59.50,340,10,5,5,0
27,10138,1.00,72.40,60.50,326,10,5,5,0
28,19675,1.00,71.80,68.50,344,10,5,5,0
29,18270,1.00,69.10,51.00,348,10,5,5,0
30,8610,1.00,68.80,67.50,348,10,5,5,0
31,16377,1.00,66.60,49.50,268,10,5,5,0
32,16409,1.00,63.60,73.00,282,10,5,5,0
33,19964,1.00,62.50,64.00,279,10,5,5,0
34,21354,0.80,79.50,70.50,318,10,4,6,0
35,11511,0.80,75.80,43.00,344,10,4,6,0
36,6294,0.80,75.00,63.50,328,10,4,6,0
37,18203,0.80,70.50,67.00,258,10,4,6,0
38,18625,0.80,70.20,44.00,253,10,4,6,0
39,14793,0.80,66.00,64.00,294,10,4,6,0
40,11754,0.80,64.60,55.50,238,10,4,6,0
41,16008,0.80,59.80,58.00,334,10,4,6,0
42,21528,0.80,59.60,57.00,277,10,4,6,0
43,17792,0.80,43.10,54.50,262,10,4,6,0
44,18549,0.60,74.40,48.00,291,10,3,7,0
45,772,0.60,67.90,53.50,302,10,3,7,0
46,8872,0.60,60.80,52.00,253,10,3,7,0
47,22801,0.60,59.80,56.50,278,10,3,7,0
48,3491,0.60,56.60,58.00,248,10,3,7,0
49,4100,0.60,53.10,56.00,293,10,3,7,0
50,11148,0.60,50.40,61.50,222,10,3,7,0
51,19706,0.60,46.50,64.00,252,10,3,7,0
52,19460,0.20,57.60,62.00,255,10,1,9,0
53,18185,0.20,57.10,54.00,229,10,1,9,0
54,20279,0.20,45.30,59.00,228,10,1,9,0
55,25498,0.20,35.00,43.50,250,10,1,9,0
56,16187,0.00,41.10,34.50,164,10,0,10,0
