match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
1,275,300,20123,24750,100,10,0,10,80,105,63,2,20,20,70,40,30,0,20871,10477,85,15,0,10,60,105,54,1,30,20,90,40,50,20
2,317,188,5356,17962,101,25,6,10,60,146,84,2,40,20,60,20,40,10,12993,19411,100,35,0,5,60,78,54,4,10,10,0,0,0,10
3,109,21,21865,12808,53,0,3,10,40,1,0,1,0,0,55,25,30,0,23898,24809,20,0,0,0,20,1,0,1,0,0,0,0,0,0
4,144,302,1002,11780,40,0,0,0,40,69,39,0,20,10,35,25,10,0,10544,9848,105,15,0,10,80,117,75,2,20,20,80,40,40,0
5,221,248,21695,10644,95,25,0,10,60,81,51,0,20,10,45,25,20,0,16597,516,78,5,3,10,60,110,69,1,20,20,60,40,20,0
6,118,214,8365,3397,30,5,0,5,20,3,3,0,0,0,5,5,0,80,6174,18840,100,10,0,10,80,44,30,4,0,10,70,40,30,0
7,256,203,10298,16265,53,0,3,10,40,83,51,2,10,20,90,40,50,30,15400,11770,73,20,3,10,40,50,30,0,10,10,50,20,30,30
8,78,160,10265,16817,5,0,0,5,0,13,9,4,0,0,20,10,10,40,23207,16158,58,5,3,10,40,82,42,10,20,10,20,20,0,0
9,247,363,14725,19502,101,10,6,5,80,86,54,2,30,0,60,20,40,0,23381,9614,91,35,6,10,40,112,72,0,20,20,40,20,20,120
10,53,149,24433,3188,50,5,0,5,40,3,3,0,0,0,0,0,0,0,20288,19953,38,5,3,10,20,61,30,1,20,10,50,40,10,0
11,207,147,23422,13603,70,20,0,10,40,87,57,0,20,10,50,20,30,0,23060,23905,30,5,0,5,20,67,36,1,20,10,50,20,30,0
12,186,259,21430,23521,56,0,6,10,40,60,30,0,20,10,70,40,30,0,3747,19458,91,15,6,10,60,88,54,4,20,10,70,40,30,10
13,231,353,23554,19889,105,15,0,10,80,76,42,4,20,10,50,20,30,0,6596,16468,125,35,0,10,80,128,75,3,30,20,100,40,60,0
