Rank,Team,Average RP,Average TBP1,Average TBP2,High Score,Matches Played,W,L,T
1,17962,1.80,98.40,62.00,379,10,9,1,0
2,12993,1.80,85.00,60.00,388,10,9,1,0
3,5356,1.60,94.60,67.00,400,10,8,2,0
4,16468,1.60,93.50,82.50,380,10,8,2,0
5,10544,1.60,88.20,80.50,379,10,8,2,0
6,9848,1.60,82.30,64.50,314,10,8,2,0
7,10644,1.60,80.50,70.50,364,10,8,2,0
8,20871,1.60,79.20,79.00,400,10,8,2,0
9,20123,1.60,76.20,65.50,299,10,8,2,0
10,23381,1.60,74.70,58.00,363,10,8,2,0
11,9614,1.40,104.00,85.00,379,10,7,3,0
12,19411,1.40,98.80,50.00,356,10,7,3,0
13,19502,1.40,94.40,73.00,379,10,7,3,0
14,6596,1.40,93.90,66.00,353,10,7,3,0
15,16597,1.40,81.20,65.50,292,10,7,3,0
16,16158,1.40,80.60,50.50,300,10,7,3,0
17,24433,1.40,79.80,67.00,370,10,7,3,0
18,20288,1.40,76.00,50.00,291,10,7,3,0
19,10298,1.20,77.30,78.50,380,10,6,4,0
20,10477,1.20,76.90,59.00,300,10,6,4,0
21,516,1.20,74.50,53.50,346,10,6,4,0
22,18840,1.20,69.60,61.50,265,10,6,4,0
23,15400,1.20,67.50,54.00,255,10,6,4,0
24,19953,1.20,62.10,58.00,311,10,6,4,0
25,23422,1.00,83.50,61.00,321,10,5,5,0
26,3747,1.00,82.60,45.00,271,10,5,5,0
27,19836,1.00,81.30,63.00,388,10,5,5,0
28,12808,1.00,73.50,68.50,360,10,5,5,0
29,19458,1.00,71.20,55.50,360,10,5,5,0
30,14725,1.00,68.50,71.00,248,10,5,5,0
31,13603,1.00,66.10,60.50,280,10,5,5,0
32,21865,1.00,50.10,34.50,235,10,5,5,0
33,24750,0.80,82.20,62.50,316,10,4,6,0
34,19889,0.80,74.10,44.00,277,10,4,6,0
35,16461,0.80,72.90,61.00,330,10,4,6,0
36,21430,0.80,63.30,61.50,281,10,4,6,0
37,23060,0.80,56.80,64.50,277,10,4,6,0
38,11780,0.80,48.40,52.50,225,10,4,6,0
39,23898,0.80,47.40,47.00,236,10,4,6,0
40,25309,0.80,46.50,72.00,380,10,4,6,0
41,21225,0.60,73.20,54.00,341,10,3,7,0
42,6174,0.60,73.00,45.00,280,10,3,7,0
43,11770,0.60,61.20,53.50,300,10,3,7,0
44,23521,0.60,56.30,58.00,280,10,3,7,0
45,23554,0.60,56.20,51.00,232,10,3,7,0
46,3188,0.60,49.10,43.00,208,10,3,7,0
47,3397,0.60,44.00,34.00,239,10,3,7,0
48,16265,0.40,64.20,45.00,256,10,2,8,0
49,23207,0.40,58.10,56.50,248,10,2,8,0
50,24809,0.40,54.50,39.50,246,10,2,8,0
51,23905,0.40,53.00,70.00,299,10,2,8,0
52,8365,0.40,49.10,54.50,245,10,2,8,0
53,1002,0.40,37.30,33.50,215,10,2,8,0
54,10265,0.20,47.30,39.50,231,10,1,9,0
55,21695,0.00,63.10,32.00,221,10,0,10,0
56,16817,0.00,28.40,20.00,165,10,0,10,0
